ds,yhat,yhat_lower,yhat_upper
2022-12-18,2304242.9580391087,2083412.4102545471,2522715.198835357
2022-12-19,2125350.8288194216,1885917.1057090978,2356067.3096099296
2022-12-20,2068771.0941888974,1841659.2804028098,2307525.1750822584
2022-12-21,2083566.5288857,1855440.5022784977,2320981.9896870763
2022-12-22,2065780.7825726417,1841681.683404191,2291245.198754065
2022-12-23,2045816.5068553519,1827428.8643720825,2266055.616885838
2022-12-24,2212296.796054542,1984749.3812937543,2448902.063422484
2022-12-25,2222140.9074077555,1987458.9085361015,2449241.7163876886
2022-12-26,2057475.4078771013,1818653.4288652013,2278714.164315067
2022-12-27,2026787.6458501092,1786634.194222092,2252722.2360003516
2022-12-28,2062404.8999706933,1817867.3399060576,2291617.1207913077
2022-12-29,2050748.7907437533,1812884.364650771,2274553.8427826576
2022-12-30,2023346.4398474067,1791484.0432540493,2254792.0294703194
2022-12-31,2176391.6177643877,1957976.5243639613,2408814.931077425
2023-01-01,2174242.778727859,1939377.4910113465,2398613.5744805736
2023-01-02,2003311.9668299593,1771546.3741390896,2223939.7175990255
2023-01-03,1974962.904228753,1725178.4644527095,2223015.065723076
2023-01-04,2025132.9198816146,1796685.308636784,2266321.757471444
2023-01-05,2042647.2084089594,1817655.8063221816,2284526.1971669327
2023-01-06,2055240.5876192295,1826533.7210336141,2269828.316235025
2023-01-07,2246604.8022824745,2005186.568525873,2484474.9541296205
2023-01-08,2264417.2260370087,2033183.518807164,2511108.3395130774
2023-01-09,2083837.7852578473,1855776.79189433,2296712.301034732
2023-01-10,2018240.3173661088,1796528.9287825592,2245638.315123914
2023-01-11,2018423.1858870261,1781218.681965487,2240603.7440810325
2023-01-12,1992219.1521415352,1748917.3455413242,2241453.637004644
2023-01-13,1980424.128966018,1753933.139240589,2211829.9370359895
2023-01-14,2169658.5539721674,1936355.630617874,2385861.02159857
2023-01-15,2203683.6280699484,1978296.8070757925,2438038.227095694
2023-01-16,2052388.5850391649,1832066.2788844118,2288735.386780868
2023-01-17,2024500.1519934493,1807482.4661219697,2261076.6885223645
2023-01-18,2064257.0608801371,1820495.4764058737,2287810.6111228378
2023-01-19,2068530.6960122178,1830809.1889155987,2309612.2821820457
2023-01-20,2065687.8675116824,1842411.2740642354,2284291.8699087263
2023-01-21,2236450.3545400756,2004603.6425740651,2475804.409857158
2023-01-22,2231833.461316636,2007045.7845171972,2461212.5809816183
2023-01-23,2040246.0309391718,1809302.3743299292,2274100.051270042
2023-01-24,1989729.9170948514,1768586.7156004147,2225654.2345733987
2023-01-25,2032809.4395198605,1819778.632287418,2251043.4268595916
2023-01-26,2059207.7356631306,1830143.4909601812,2291586.360764214
2023-01-27,2080932.7249658308,1855979.7853738726,2307347.1614863295
2023-01-28,2264604.6128061935,2036555.5032320095,2513086.6773228236
2023-01-29,2257254.262815044,2046849.9600210893,2491332.2214651373
2023-01-30,2052605.1225680683,1842058.4284922702,2287906.4509858424
2023-01-31,1986924.9655382284,1753071.975968235,2222286.2627365617
2023-02-01,2018655.8782964838,1794381.9784740193,2242290.3242435353
2023-02-02,2040801.7339745127,1810528.9359686952,2273216.204812922
2023-02-03,2068580.1241559994,1847242.003816006,2301882.763486248
2023-02-04,2272102.0208818363,2045155.6132146611,2515837.498030728
2023-02-05,2298337.4504404445,2066568.2642866056,2530945.714586026
2023-02-06,2132764.5163019793,1924068.653096817,2371511.497817059
2023-02-07,2095943.9139104954,1860342.2791804688,2314645.207446946
2023-02-08,2130971.920696943,1906326.9538343423,2381257.9788524075
2023-02-09,2125630.0275448663,1887792.9562505502,2349892.008208294
2023-02-10,2104159.498730382,1876711.4183428956,2341226.30532682
2023-02-11,2254840.649249403,2028030.2994770207,2472198.237202046
2023-02-12,2241632.124826005,2022394.9720852347,2485741.994185366
2023-02-13,2057940.3821779166,1828617.1196696435,2304013.738053496
2023-02-14,2022995.7287760822,1790117.6055255665,2258857.919329108
2023-02-15,2074657.2068415016,1826306.152864853,2314035.6208668975
2023-02-16,2095851.7776497856,1876837.7633617555,2337883.9542516414
2023-02-17,2105698.6901097563,1867614.4054249781,2332978.4298684434
2023-02-18,2283758.040512156,2049250.9660964636,2506212.7778985836
2023-02-19,2281611.7666699113,2038474.858508551,2514159.1551751145
2023-02-20,2082503.743786195,1860205.1561510556,2299350.529633729
2023-02-21,2005997.7427972776,1755834.0458558868,2211287.617507
